,sp_codes,sp_names,bacdive_code,tax_id,oxygen_fusion,oxygen_gold,merge_oxygen,habitat,temp_range_deduced,temp_def,temp_type_def,continent_def,habMix,oxySimpl,life_domain,clades
0,eco,Escherichia coli K-12 MG1655,4907.0,511145,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
1,ecj,Escherichia coli K-12 W3110,4907.0,316407,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
2,ecd,Escherichia coli K-12 DH10B,4907.0,316385,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
3,ebw,Escherichia coli BW2952,4907.0,595496,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
4,ecok,Escherichia coli K-12 MDS42,4907.0,1110693,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
5,ece,Escherichia coli O157:H7 EDL933 (EHEC),4907.0,155864,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
6,ecs,Escherichia coli O157:H7 Sakai (EHEC),4907.0,386585,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
7,ecf,Escherichia coli O157:H7 EC4115 (EHEC),4907.0,444450,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
8,etw,Escherichia coli O157:H7 TW14359 (EHEC),4907.0,544404,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
9,elx,Escherichia coli O157:H7 Xuzhou21 (EHEC),4907.0,741093,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
10,eoj,Escherichia coli O26:H11 11368 (EHEC),4907.0,573235,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
11,eoi,Escherichia coli O111:H- 11128 (EHEC),4907.0,585396,Facultative,Facultative,Facultative,Host,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
12,eoh,Escherichia coli O103:H2 12009 (EHEC),4907.0,585395,Facultative,Facultative,Facultative,Host,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
13,ecoo,Escherichia coli O145:H28 RM13514 (EHEC),4907.0,1248902,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
14,ecoh,Escherichia coli O145:H28 RM13516 (EHEC),4907.0,1248915,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
15,ecg,Escherichia coli O127:H6 E2348/69 (EPEC),4907.0,574521,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
16,eok,Escherichia coli O55:H7 CB9615 (EPEC),4907.0,701177,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
17,elr,Escherichia coli O55:H7 RM12579 (EPEC),4907.0,1048689,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
18,eso,Escherichia coli O104:H4 2009EL-2071,4907.0,1133853,,Aerobe,Aerobe,,mesophilic,33.5,growth,,,Aerobe,Bacteria,Enterobacterales
19,esm,Escherichia coli O104:H4 2009EL-2050,4907.0,1134782,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
20,esl,Escherichia coli O104:H4 2011C-3493,4907.0,1133852,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
21,ecw,Escherichia coli O139:H28 E24377A (ETEC),4907.0,331111,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
22,elh,Escherichia coli O78:H11:K80 H10407 (ETEC),4907.0,316401,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
23,eun,"Escherichia coli UMNK88 (ETEC, porcine)",4907.0,696406,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
24,ecc,Escherichia coli O6:K2:H1 CFT073 (UPEC),4907.0,199310,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
25,ecp,Escherichia coli O6:K15:H31 536 (UPEC),4907.0,362663,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
26,eci,Escherichia coli O18:K1:H7 UTI89 (UPEC),4907.0,364106,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
27,ecv,Escherichia coli APEC O1 (APEC),4907.0,405955,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
28,ecx,Escherichia coli O9 HS (commensal),4907.0,331112,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
29,ecm,Escherichia coli SMS-3-5 (environmental),4907.0,439855,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
30,ecy,Escherichia coli O152:H28 SE11 (commensal),4907.0,409438,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
31,ecr,Escherichia coli O8 IAI1 (commensal),4907.0,585034,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
32,ecq,Escherichia coli O81 ED1a (commensal),4907.0,585397,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
33,eck,Escherichia coli 55989 (EAEC),4907.0,585055,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
34,ect,Escherichia coli O7:K1 IAI39 (ExPEC),4907.0,585057,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
35,eoc,Escherichia coli O7:K1 CE10,4907.0,1072459,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
36,eum,Escherichia coli O17:K52:H18 UMN026 (ExPEC),4907.0,585056,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
37,ecz,Escherichia coli O45:K1:H7 S88 (ExPEC),4907.0,585035,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
38,elo,Escherichia coli O44:H18 042 (EAEC),4907.0,216592,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
39,eln,Escherichia coli O83:H1 NRG 857C,4907.0,685038,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
40,ese,Escherichia coli O150:H5 SE15 (commensal),4907.0,431946,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
41,ecl,Escherichia coli ATCC 8739,4907.0,481805,Facultative,Facultative,Facultative,Host,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
42,ebr,Escherichia coli B REL606,4907.0,413997,Facultative,Facultative,Facultative,Human,mesophilic,33.5,growth,,Symbiont,Facultative,Bacteria,Enterobacterales
43,ebd,Escherichia coli BL21-Gold(DE3)pLysS AG,4907.0,866768,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
44,eko,Escherichia coli KO11FL,4907.0,595495,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
45,ekf,Escherichia coli KO11FL,4907.0,595495,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
46,eab,Escherichia coli ABU 83972,4907.0,655817,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
47,edh,Escherichia coli DH1,4907.0,536056,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
48,edj,Escherichia coli DH1,4907.0,536056,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
49,eih,Escherichia coli IHE3034,4907.0,714962,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
50,ena,Escherichia coli NA114 (UPEC),4907.0,1033813,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
51,elu,Escherichia coli UM146,4907.0,869729,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
52,elw,Escherichia coli W,4907.0,566546,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
53,ell,Escherichia coli W,4907.0,566546,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
54,elc,Escherichia coli clone D i14,4907.0,885275,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
55,eld,Escherichia coli clone D i2,4907.0,885276,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
56,elp,Escherichia coli P12b,4907.0,910348,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
57,ebl,Escherichia coli BL21(DE3),4907.0,469008,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
58,ebe,Escherichia coli BL21(DE3),4907.0,469008,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
59,elf,Escherichia coli LF82,4907.0,591946,,Facultative,Facultative,,mesophilic,33.5,growth,,,Facultative,Bacteria,Enterobacterales
60,ecoa,Escherichia coli APEC O78,4907.0,1274814,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
61,ecol,Escherichia coli LY180,4907.0,1335916,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
62,ecoi,Escherichia coli PMV-1,4907.0,1382700,,,,,mesophilic,33.5,growth,,,,Bacteria,Enterobacterales
